district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Fayette, Maine",1080,867,68125,59063,90500,1037,3,0,7,0,0,16,17,5,28,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00008
"Long Island, Maine",314,238,80556,107727,78750,282,0,0,14,0,0,18,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00009
"The Forks Plantation, Maine",23,17,-666666666,-666666666,-666666666,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00052
"Seboeis Plantation, Maine",69,54,99375,-666666666,100417,69,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00057
"West Forks Plantation, Maine",28,25,24167,-666666666,-666666666,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00058
"Lake View Plantation, Maine",140,104,-666666666,-666666666,-666666666,140,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00059
"Caratunk, Maine",68,63,58438,-666666666,-666666666,64,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00061
"East Machias, Maine",1376,922,43929,57750,44808,1358,4,0,7,0,0,7,0,20,4,34,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,23,00062
"Lowell, Maine",396,304,48125,43750,63125,396,0,0,0,0,0,0,0,5,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00063
"Cutler, Maine",508,345,50536,45000,74643,469,0,12,0,0,0,24,3,11,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00065
"Machiasport, Maine",956,732,51696,41607,61250,877,7,2,9,0,0,31,30,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,23,00067
"Whiting, Maine",378,301,52917,78333,94063,360,0,6,0,0,0,12,0,2,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,00068
"Acton, Maine",2593,2002,55625,81875,68750,2566,0,0,0,0,0,19,8,88,44,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,02220
"Alexander, Maine",508,385,51875,66667,58056,494,0,0,11,0,0,3,0,3,5,13,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,02280
"Auburn, Maine",23187,16441,49719,52283,62883,20932,286,45,282,0,17,1161,464,362,235,366,159,13,6,9,0,0,3,7,0,0,0,7,3,0,0,0,0,0,0,0,0,42,27,38,47,24,0,0,16,23,02610
"Augusta, Maine",18605,13854,43796,54047,51175,17293,156,126,244,5,28,408,345,152,74,282,189,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,18,23,0,0,7,0,0,23,02640
"Baileyville, Maine",1433,1023,46168,51765,42614,1261,0,38,0,0,0,88,46,29,3,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,23,02730
"Bangor, Maine",32095,22785,46625,49634,53438,28720,576,264,800,0,150,938,647,492,395,541,474,33,78,1,25,23,0,12,20,0,0,142,0,0,0,0,0,0,0,0,0,0,37,27,0,14,7,26,13,23,02820
"Baring Plantation, Maine",220,163,49375,21875,61250,202,3,5,0,0,0,10,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,02880
"Beaver Cove, Maine",154,151,59375,-666666666,-666666666,134,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,02960
"Beddington, Maine",36,33,23750,-666666666,30000,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,02980
"Biddeford, Maine",21462,14865,53120,62561,56069,19227,637,22,713,6,0,355,502,247,340,242,484,22,0,0,0,0,0,0,0,17,10,0,12,0,0,0,0,0,0,0,0,10,0,10,4,10,6,19,13,23,03150
"Blue Hill, Maine",2660,1912,69087,42788,88720,2575,0,7,0,0,0,24,54,16,2,101,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,03210
"Bowerbank, Maine",122,116,56250,-666666666,91250,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,03390
"Brewer, Maine",9090,6597,52174,59446,67757,8802,60,19,1,0,0,165,43,177,53,143,86,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,23,03510
"Bristol, Maine",2747,2188,62604,62102,61691,2714,1,0,0,0,0,26,6,50,48,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,03600
"Moro Plantation Public Schools, Maine",26,26,21806,-666666666,-666666666,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14836
"Sebago Public Schools, Maine",1600,1235,57902,73438,61579,1550,3,5,0,0,0,25,17,26,20,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14837
"Regional School Unit 89, Maine",2334,1774,36607,34167,53000,2251,26,27,0,0,0,21,9,23,16,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14838
"Eagle Lake Public Schools, Maine",624,541,38700,-666666666,53750,616,0,0,0,0,0,8,0,22,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14839
"Brighton Plantation, Maine",45,40,22708,-666666666,-666666666,36,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,23,14811
"Glenburn, Maine",4566,3369,63482,73347,71094,4485,0,45,0,0,0,36,0,25,25,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,23,06000
"Cherryfield, Maine",916,790,40417,70729,25313,813,0,19,17,0,16,21,30,0,3,4,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14814
"Veazie, Maine",1999,1410,51346,56111,65469,1913,5,0,1,0,0,71,9,16,5,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,23,13140
district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Anne Arundel County Public Schools, Maryland",571275,393584,100798,102799,122019,389750,93175,835,21377,356,1619,19542,44621,6738,4551,6552,3546,1878,1288,1897,1231,17,0,0,0,390,319,311,224,0,0,7,0,331,305,298,145,839,422,951,172,984,755,983,603,24,00060
"Baltimore City Public Schools, Maryland",609032,423638,50379,61305,52702,167430,376203,1442,15649,204,2500,13421,32183,1319,1869,1280,2308,7169,4945,7138,5206,13,20,26,8,148,427,121,371,0,0,0,14,207,27,178,91,209,343,334,391,512,403,521,446,24,00090
"Calvert County Public Schools, Maryland",91511,62546,109313,112209,132897,71522,10524,128,1650,38,151,3857,3641,1592,830,1575,746,165,70,90,123,0,0,0,0,61,55,43,11,7,0,6,0,43,42,16,0,267,144,320,59,106,121,117,85,24,00150
"Prince George's County Public Schools, Maryland",908670,616274,84920,79197,99763,115436,560785,2116,37170,404,3360,21901,167498,980,3210,888,2788,10481,6794,10211,6902,73,59,54,25,531,812,423,933,0,0,0,50,2722,1684,2639,1635,807,556,646,444,3858,2464,3531,2236,24,00510
"Queen Annes County Public Schools, Maryland",49632,35106,97034,107621,109955,42945,3289,17,504,0,150,772,1955,891,471,854,400,44,27,11,63,0,0,0,0,0,0,13,55,0,0,0,0,0,20,25,0,43,18,35,0,25,28,49,0,24,00540
"Somerset County Public Schools, Maryland",25729,17025,37803,37371,58681,13260,10668,87,253,6,6,519,930,177,71,176,138,116,311,205,587,0,0,0,0,17,0,5,12,0,0,0,0,0,3,0,0,0,7,18,18,0,31,27,42,24,00570
"St. Marys County Public Schools, Maryland",112290,74327,89845,93121,111632,83197,16275,94,2865,20,220,3800,5819,1609,1067,1652,1111,380,182,380,253,0,25,0,0,73,39,49,51,0,0,0,0,20,76,19,11,206,58,85,37,137,76,129,205,24,00600
"Talbot County Public Schools, Maryland",37167,27939,73547,76478,85986,28926,3738,48,503,0,29,1410,2513,459,238,425,214,33,92,42,50,1,0,0,0,27,0,16,0,0,0,0,0,29,0,0,17,124,152,14,65,65,4,78,25,24,00630
"Washington County Public Schools, Maryland",150109,105079,60860,68888,73576,118474,15578,186,2731,113,156,5255,7616,2192,1164,2079,1050,465,220,262,154,0,0,12,0,65,17,90,12,0,0,0,0,36,10,27,67,191,228,233,126,188,103,204,118,24,00660
"Wicomico County Public Schools, Maryland",102539,64556,56956,58762,69294,64575,26301,249,3202,28,123,2685,5376,1019,1524,1014,2014,711,506,647,476,0,19,0,0,24,201,98,105,0,0,0,0,9,38,0,7,113,63,120,157,125,110,116,138,24,00690
"Worcester County Public Schools, Maryland",51765,39386,63499,68194,77181,41494,6573,62,617,41,0,1167,1811,630,333,581,292,168,132,148,73,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,20,5,20,34,32,40,16,0,24,00720
"Caroline County Public Schools, Maryland",33049,22557,58638,64063,76310,24967,4475,54,229,0,67,840,2417,480,256,473,223,82,63,121,120,0,0,0,2,4,0,24,0,0,0,0,0,0,30,12,4,37,12,34,42,39,81,70,32,24,00180
"Dorchester County Public Schools, Maryland",32138,23058,52917,52573,66401,20206,8287,20,354,0,24,1432,1815,328,172,305,138,132,62,123,71,0,0,0,0,27,10,24,0,0,0,0,0,11,0,18,0,107,20,58,59,41,57,26,29,24,00300
"Carroll County Public Schools, Maryland",167699,116607,96769,108918,115361,149333,5790,410,3176,11,239,2819,5921,3237,1893,3034,1702,142,122,78,136,0,0,0,35,47,34,56,75,0,0,11,0,24,0,5,37,123,62,193,76,160,107,163,132,24,00210
"Cecil County Public Schools, Maryland",102552,70955,76887,87446,89099,87291,6546,92,1446,7,54,2591,4525,1809,947,1714,844,229,139,121,33,0,0,0,0,0,1,0,36,0,0,0,0,0,3,3,21,81,65,132,161,157,84,111,116,24,00240
"Charles County Public Schools, Maryland",159428,106804,100003,97340,121328,64027,72431,843,5062,16,329,7508,9212,1160,678,1030,549,1799,1075,1769,1132,46,0,14,46,121,74,113,86,0,0,0,0,8,0,42,0,319,198,468,38,208,94,212,90,24,00270
"Frederick County Public Schools, Maryland",251422,170910,97730,101438,116940,184756,23557,665,11151,170,426,6596,24101,3655,2214,3474,2131,561,372,633,411,25,6,61,0,281,167,261,127,0,0,0,0,99,58,63,32,328,182,314,138,630,379,675,419,24,00330
"Garrett County Public Schools, Maryland",29235,21472,52617,60264,61228,28193,250,20,125,9,0,308,330,525,302,463,235,27,45,2,18,0,0,0,0,19,0,0,4,0,0,0,0,0,0,0,0,37,55,0,5,22,28,3,0,24,00360
"Harford County Public Schools, Maryland",252222,174831,89147,99868,109501,191893,33969,397,6472,5,409,7588,11489,3807,2184,3472,1806,1012,546,917,413,0,0,46,0,105,79,89,51,0,0,0,0,66,90,38,112,370,178,242,176,487,198,136,128,24,00390
"Howard County Public Schools, Maryland",318855,215300,121160,119139,152384,165862,58978,670,57531,68,1683,12051,22012,3411,1864,3179,1631,1526,746,1468,841,39,0,43,0,1224,524,1218,549,0,0,0,0,96,85,175,99,606,402,582,168,620,360,540,334,24,00420
"Kent County Public Schools, Maryland",19536,13933,58598,59583,71744,15187,2770,26,228,0,32,434,859,215,285,188,424,12,65,69,61,0,0,0,0,0,42,4,51,0,0,0,0,2,0,13,0,18,5,3,14,8,40,20,49,24,00450
"Montgomery County Public Schools, Maryland",1043530,717900,108820,102471,134251,457265,186964,1505,153306,438,5859,34439,203754,8264,4334,8044,3832,4148,2671,4084,2479,128,0,82,44,2522,1299,2608,1321,0,0,0,0,2036,1293,2080,1518,1457,641,1451,513,4770,2959,4417,2706,24,00480
"Baltimore County Public Schools, Maryland",828018,575300,76866,81812,94710,474239,235778,1946,49687,345,1828,19388,44807,7561,5613,6986,6099,5461,3585,5251,3579,124,48,9,56,829,711,832,663,0,0,29,0,280,153,312,194,874,394,582,478,1042,718,1005,691,24,00120
"Allegany County Public Schools, Maryland",71445,49921,45893,54112,57515,62135,5692,90,663,15,61,1512,1277,1049,957,944,956,83,501,43,400,0,0,0,0,40,22,12,58,0,0,0,0,0,8,0,0,29,38,36,105,13,72,26,57,24,00030
district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Dracut School District, Massachusetts",31373,21879,90273,105887,112446,26173,1228,0,1241,26,180,456,2069,576,269,311,366,85,0,31,0,0,0,0,0,34,37,16,88,0,0,0,0,0,0,0,0,0,0,88,85,5,31,102,5,25,04320
"Dudley-Charlton Regional School District, Massachusetts",25273,16604,88812,105664,105162,22625,341,54,477,0,24,498,1254,306,462,352,468,28,44,11,15,0,18,0,0,0,0,34,14,0,0,0,0,0,8,0,0,92,43,11,13,168,93,0,69,25,04360
"Duxbury School District, Massachusetts",15812,10760,128173,154730,183419,15097,121,12,303,0,0,144,135,442,79,370,112,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,25,04410
"East Bridgewater School District, Massachusetts",14466,9804,90528,99766,114833,12736,559,0,220,0,221,422,308,271,115,256,109,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,8,3,0,0,0,0,25,04440
"East Longmeadow School District, Massachusetts",16242,11436,87748,95625,126120,13848,756,19,714,0,9,267,629,277,141,219,106,8,80,0,30,0,0,0,0,0,31,14,12,0,0,0,0,13,0,0,0,38,0,28,0,26,0,0,0,25,04500
"Easthampton School District, Massachusetts",15960,12545,63507,66250,83105,14238,300,0,247,0,0,452,723,84,142,303,146,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,17,15,0,0,0,16,79,25,04590
"Easton School District, Massachusetts",24621,16162,112268,127895,137292,21688,1025,10,608,0,272,278,740,368,522,554,626,0,84,0,26,0,0,0,0,0,26,0,39,0,0,0,0,25,9,0,5,15,8,50,21,17,41,14,57,25,04620
"Everett School District, Massachusetts",46118,31559,65528,67912,70462,20125,7625,10,3754,5,655,915,13029,298,202,274,222,85,124,21,185,0,0,0,0,67,0,8,31,0,0,0,0,40,42,123,0,15,0,114,0,395,108,309,92,25,04770
"Fairhaven School District, Massachusetts",16045,11690,67394,82721,92917,14531,110,0,576,0,369,132,327,190,164,163,111,0,0,0,1,0,0,0,0,1,0,45,54,0,0,0,0,17,0,36,18,0,0,0,0,17,0,0,18,25,04800
"Fall River School District, Massachusetts",89388,62973,43503,49260,51885,69030,4729,124,1680,0,741,3664,9420,903,621,769,674,21,40,171,61,0,0,32,0,63,38,35,14,14,0,0,0,137,121,115,50,77,9,43,47,200,182,227,130,25,04830
"Falmouth School District, Massachusetts",31124,24437,75820,79538,92175,27652,615,183,572,0,445,874,783,313,413,411,320,0,0,0,0,0,0,0,0,66,0,5,14,0,0,0,0,31,0,0,0,0,44,34,14,14,12,0,25,25,04860
"Fitchburg School District, Massachusetts",40702,26208,57207,67382,64369,25366,1482,121,942,0,45,1034,11712,292,349,354,465,12,75,42,75,0,0,0,0,42,10,20,0,0,0,0,0,136,92,74,1,42,45,44,85,251,234,308,301,25,04890
"Foxborough School District, Massachusetts",17727,12539,96062,114167,105000,14848,1010,0,624,0,12,291,942,286,164,317,70,46,38,45,11,0,0,0,0,1,0,18,5,0,0,0,0,0,0,0,0,13,30,5,0,0,10,0,0,25,04950
"Framingham School District, Massachusetts",72308,51702,82709,84947,94558,45534,4504,258,5635,65,3049,1615,11648,584,651,511,718,254,107,67,173,0,0,0,15,69,33,97,42,0,0,0,0,171,180,340,219,42,25,89,35,294,190,397,360,25,04980
"Franklin School District, Massachusetts",33256,21806,122607,140061,150073,29664,301,0,1915,5,43,797,531,745,657,895,552,21,34,0,60,0,0,0,0,49,0,18,44,0,0,0,0,0,14,22,0,62,21,27,92,0,45,31,14,25,05010
"Gardner School District, Massachusetts",20610,15014,49679,64986,54583,16742,477,11,651,0,60,757,1912,257,133,161,72,34,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,27,38,36,0,59,58,14,9,25,05130
"Gateway School District, Massachusetts",7309,5564,72000,84313,85291,6955,66,32,15,0,7,119,115,82,94,88,57,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,13,0,0,7,25,05160
"Georgetown School District, Massachusetts",8695,6192,128466,152885,149148,8103,44,33,107,0,0,105,303,230,113,162,85,0,0,24,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,13,0,0,14,0,0,24,11,25,05220
"Gill-Montague School District, Massachusetts",9875,7679,56616,59825,64527,8792,248,127,67,0,0,281,360,114,69,131,54,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,6,7,0,25,12,0,0,0,25,05270
"Gloucester School District, Massachusetts",30162,23175,72574,75919,86987,27724,428,13,587,0,27,646,737,348,221,259,213,63,17,0,0,0,0,0,0,24,0,20,8,0,0,0,0,0,0,0,0,12,17,17,112,33,17,0,0,25,05280
"Gosnold School District, Massachusetts",49,49,-666666666,-666666666,112500,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,05340
"Grafton School District, Massachusetts",18743,13084,106250,120671,125293,14786,534,0,1514,0,202,528,1179,323,97,401,101,14,0,0,0,0,0,0,0,24,0,44,27,0,0,0,0,0,0,2,2,27,30,74,0,87,21,44,44,25,05370
"Granby School District, Massachusetts",6322,4758,96979,91050,129193,5831,64,0,50,0,46,83,248,63,95,133,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,05400
"Greenfield School District, Massachusetts",17375,13178,50478,61159,62337,15094,333,7,220,0,14,376,1331,196,95,204,73,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,24,35,25,0,0,0,0,0,59,90,50,0,25,05490
"Groton-Dunstable School District, Massachusetts",14679,10139,130884,136818,153352,13416,17,0,544,0,14,465,223,373,230,471,135,0,10,0,0,0,0,0,0,16,0,24,0,0,0,0,0,0,0,0,0,20,5,5,0,0,10,0,1,25,05500
"Lynn School District, Massachusetts",93743,61187,56181,60106,68868,33635,10164,168,6750,92,680,2159,40095,426,292,354,248,202,185,290,88,27,21,0,0,75,176,104,59,0,0,0,0,534,576,492,187,176,75,261,83,1171,962,957,496,25,07110
"Lynnfield School District, Massachusetts",12894,8690,128641,166000,167279,11693,76,0,564,0,0,247,314,110,71,228,192,27,21,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,52,0,17,0,27,0,0,18,25,07140
"Malden School District, Massachusetts",60984,43469,65975,70098,79114,28672,10849,20,13696,14,774,1792,5167,186,160,378,195,201,49,137,105,0,0,0,0,154,69,150,59,0,0,0,0,0,0,0,12,0,15,31,0,10,42,76,36,25,07170
"Mansfield School District, Massachusetts",23947,16564,120613,116627,136694,20686,466,0,1442,0,80,303,970,396,173,524,201,21,19,0,0,0,18,0,0,13,0,21,92,0,0,0,0,0,0,0,10,22,0,0,19,52,29,1,0,25,07230
"Marblehead School District, Massachusetts",20500,14715,123333,163250,143686,18677,285,0,287,0,52,182,1017,448,313,570,110,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,10,0,29,16,43,0,25,07260
"Marlborough School District, Massachusetts",39736,28395,80943,94601,100063,27491,1522,0,2169,0,1490,1079,5985,354,162,488,422,36,25,77,0,0,0,0,0,108,10,0,26,0,0,0,0,0,22,0,151,22,34,18,0,93,46,101,194,25,07320
"Marshfield School District, Massachusetts",25838,18327,102560,134967,119770,24872,56,0,140,7,29,183,551,432,358,427,390,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,16,0,25,07350
"Mashpee School District, Massachusetts",14148,10916,77019,80500,92961,12128,456,699,316,0,140,321,88,203,131,198,162,0,0,59,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,0,0,0,0,0,25,07440
"Maynard School District, Massachusetts",10754,7815,105254,118640,120368,9880,144,0,186,0,58,120,366,162,15,99,89,0,0,0,22,0,0,0,0,0,23,18,0,0,0,0,0,0,10,24,0,0,0,0,0,0,10,47,0,25,07500
"Medfield School District, Massachusetts",12841,8122,160963,162800,194453,11693,110,0,619,0,0,161,258,323,206,251,137,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,25,07530
"Medford School District, Massachusetts",57637,41431,96455,120786,104260,40981,5263,27,5643,21,294,1679,3729,344,721,245,516,113,85,123,32,0,0,0,0,17,115,20,150,0,7,0,0,10,5,0,1,51,40,20,51,70,53,48,48,25,07560
"Medway School District, Massachusetts",13325,8985,132823,143750,157911,11999,362,4,317,0,22,281,340,303,151,542,121,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,9,0,0,0,9,25,07590
"Melrose School District, Massachusetts",28113,20322,106955,144375,123187,24093,811,0,1736,0,0,587,886,538,251,583,208,0,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,34,0,25,07620
"Mendon-Upton School District, Massachusetts",14009,9820,127083,165985,158646,11976,606,0,324,0,0,679,424,241,104,289,17,7,0,0,0,0,0,0,0,22,0,40,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,19,2,25,07680
"Methuen School District, Massachusetts",50282,34750,77484,82802,96575,30602,1591,9,2048,0,174,1021,14837,711,335,500,369,37,43,24,54,0,0,0,20,49,42,48,0,0,0,0,0,134,123,226,92,101,32,95,0,525,344,530,309,25,07740
"Middleborough School District, Massachusetts",24850,17978,83631,88553,122696,23007,409,16,233,20,124,443,598,458,318,314,244,79,20,0,0,0,0,0,0,23,0,0,12,0,0,0,0,0,0,25,0,0,0,13,6,41,0,25,0,25,07770
"Milford School District, Massachusetts",28883,20124,83243,93333,98870,21321,656,20,797,0,1470,571,4048,288,207,284,213,21,0,2,9,0,0,0,0,12,22,31,0,0,0,0,0,98,63,159,47,6,0,0,14,59,25,127,110,25,07860
"Millbury School District, Massachusetts",13732,9902,85781,106469,104479,12515,195,6,332,54,148,313,169,236,22,251,132,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,1,25,07890
"Millis School District, Massachusetts",8233,5910,106164,107083,109913,7650,187,0,127,0,62,19,188,137,46,238,37,55,0,0,32,0,0,0,0,0,22,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,25,07920
"Milton School District, Massachusetts",27572,17820,133718,172083,168162,19779,4116,98,1795,27,87,788,882,440,326,292,480,89,78,161,55,0,0,0,0,75,5,43,103,0,0,0,0,0,14,0,0,46,34,7,33,10,12,0,23,25,07980
"Mohawk Trail School District, Massachusetts",8226,6374,63769,67917,69400,7736,63,8,165,0,3,122,129,108,20,99,103,1,1,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,1,0,0,5,7,2,5,11,1,2,0,25,07990
"Monson School District, Massachusetts",8779,6507,83413,91406,110545,8418,96,0,45,0,10,75,135,251,59,214,67,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,18,25,08040
