district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Northern Tioga School District, Pennsylvania",14199,10378,46770,55234,56470,13597,82,12,52,13,7,233,203,238,143,262,106,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,4,0,0,15,4,1,42,17730
"Northern York County School District, Pennsylvania",21701,15664,74248,80817,91445,20232,276,0,496,0,56,290,351,317,113,274,135,5,5,0,22,0,0,0,0,0,14,29,0,0,0,0,0,0,0,21,0,26,0,0,0,20,29,0,0,42,17760
"Northgate School District, Pennsylvania",12730,10442,45998,54114,52589,10569,1372,56,10,0,81,364,278,63,51,107,74,24,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,5,0,0,0,5,10,0,42,17770
"Northwest Area School District, Pennsylvania",8722,6510,60439,76211,76214,8438,18,20,16,0,4,126,100,161,83,180,60,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,3,0,42,17790
"Northwestern Lehigh School District, Pennsylvania",15287,11065,90878,90463,110772,14183,90,0,42,0,0,295,677,337,134,161,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,13,0,0,5,0,12,12,13,13,42,17850
"Northwestern School District, Pennsylvania",11995,9120,55000,63472,66139,10190,1196,14,24,0,8,287,276,142,64,183,73,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,4,0,42,17880
district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Bristol-Warren Regional School District, Rhode Island",32633,22995,68887,73782,88408,30159,561,16,405,0,173,415,904,548,951,371,1189,32,61,33,0,0,0,0,8,15,14,0,1,0,0,0,0,0,28,0,21,40,7,0,34,2,52,17,28,44,00065
"Burrillville School District, Rhode Island",16588,11808,84680,100933,93597,15133,106,0,438,0,21,436,454,222,282,283,173,0,0,1,30,0,0,0,0,41,0,0,0,0,0,0,0,27,1,21,0,43,14,17,0,27,15,16,0,44,00090
"Central Falls School District, Rhode Island",19429,11636,32982,34031,34784,3850,1666,54,126,89,247,494,12903,49,38,125,19,38,44,25,0,0,0,0,0,0,0,0,0,0,0,0,0,90,142,93,58,70,33,56,0,188,358,340,207,44,00120
"Chariho Regional School District, Rhode Island",23549,17112,87420,90156,107500,22360,156,99,256,0,14,339,325,355,174,300,259,14,33,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,33,0,0,20,7,13,0,0,44,00150
"Coventry School District, Rhode Island",34627,25176,73392,89105,88112,32339,175,0,335,0,78,503,1197,629,385,629,340,0,0,0,0,0,0,0,0,0,16,12,23,0,0,0,0,16,1,0,0,69,0,20,0,66,17,0,68,44,00210
"Cranston School District, Rhode Island",81254,57873,72017,78843,86107,56421,4329,99,4917,79,456,2353,12600,839,515,711,518,49,58,169,72,0,16,0,0,103,42,222,52,0,0,0,0,111,96,31,49,98,69,107,66,267,132,264,184,44,00240
"East Greenwich School District, Rhode Island",13081,9030,114147,140833,153996,11334,74,141,681,0,24,349,478,245,80,297,35,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,10,28,0,13,13,0,0,33,17,38,0,44,00300
"East Providence School District, Rhode Island",47483,35274,59142,76155,69164,37486,2948,30,1332,31,662,2055,2939,285,238,488,134,23,0,52,91,0,0,0,0,26,4,15,0,0,0,0,0,51,18,20,8,62,7,16,0,66,6,38,20,44,00330
"Johnston School District, Rhode Island",29307,22222,65125,86096,71379,24760,532,1,926,0,13,449,2626,278,206,439,126,0,35,23,19,0,0,31,0,0,0,0,0,0,0,0,0,12,12,0,53,15,20,60,0,39,62,31,53,44,00540
"Lincoln School District, Rhode Island",21731,15197,81045,94375,100200,19152,303,0,733,0,172,385,986,419,155,431,195,40,0,0,0,0,0,0,0,19,3,24,7,0,0,0,0,22,1,0,27,30,0,19,0,34,1,32,39,44,00570
"Middletown School District, Rhode Island",16018,11971,73609,78092,108229,12784,943,42,464,73,121,498,1093,111,199,146,18,64,0,3,0,0,0,0,0,0,0,11,0,18,0,0,0,5,0,14,0,17,0,1,0,64,0,65,1,44,00630
"Narragansett School District, Rhode Island",15500,10337,86920,138750,125938,14410,134,0,300,0,2,106,548,201,96,180,307,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,61,0,0,0,9,0,32,5,68,15,44,00660
"New Shoreham School District, Rhode Island",916,718,59423,-666666666,79722,859,4,0,19,0,0,27,7,34,0,13,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,44,00690
"Newport School District, Rhode Island",24663,17143,67102,73383,65846,19046,1546,282,482,0,61,832,2414,116,224,230,738,0,56,51,34,0,17,0,0,0,0,46,20,0,0,41,0,3,13,0,32,47,55,0,37,3,32,41,33,44,00720
"North Kingstown School District, Rhode Island",26235,18735,91796,96484,111446,23719,227,118,536,0,1,778,856,503,158,480,126,16,19,0,0,0,0,9,0,16,0,29,22,0,0,0,0,0,0,0,0,10,0,30,0,21,0,11,0,44,00750
"North Providence School District, Rhode Island",32564,24209,57135,66576,76774,23404,2525,24,1014,0,415,822,4360,362,323,283,272,24,54,8,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,47,20,110,11,17,0,123,27,92,82,44,00780
"North Smithfield School District, Rhode Island",12413,9262,78617,91122,111037,11506,63,0,128,0,0,113,603,221,70,211,66,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,5,0,0,0,44,00810
"Pawtucket School District, Rhode Island",71844,50877,50476,52026,59457,34610,11427,168,1698,53,3150,2591,18147,332,181,232,184,176,183,193,179,35,0,0,0,0,6,10,6,0,0,0,0,149,111,155,72,198,123,72,42,665,257,359,186,44,00840
"Portsmouth School District, Rhode Island",17363,12564,100453,112532,127821,15993,206,0,130,0,28,312,694,424,211,327,166,9,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,15,18,7,6,89,1,38,44,00870
"Providence School District, Rhode Island",179494,108898,45610,53628,52960,59356,24947,1224,10568,238,679,4725,77757,624,2094,319,2715,967,777,811,709,0,13,52,19,150,380,134,612,0,0,0,0,865,473,802,672,270,162,142,350,1954,1573,1977,1641,44,00900
"Scituate School District, Rhode Island",10634,7875,96179,101711,116129,10258,31,0,95,0,0,91,159,303,44,400,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,44,00960
