zip_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,state_fips_code,zip_code
ZCTA5 58038,67361,67361,-666666666,91563,61528,108250,38,58038
ZCTA5 58040,72375,72375,41691,94063,81250,54583,38,58040
ZCTA5 58041,64946,64946,-666666666,78750,73382,41875,38,58041
ZCTA5 58042,112000,112000,-666666666,152865,108947,77125,38,58042
ZCTA5 58043,97750,97750,-666666666,98875,106250,58125,38,58043
ZCTA5 58045,63875,63875,-666666666,71500,75924,36042,38,58045
ZCTA5 58046,57222,57222,-666666666,105469,76667,42500,38,58046
ZCTA5 58047,133792,133792,80598,133235,179250,88309,38,58047
ZCTA5 58048,81250,81250,54375,108125,86250,51750,38,58048
ZCTA5 58049,75625,75625,-666666666,86250,83125,68333,38,58049
ZCTA5 58051,103466,103466,47875,103594,113333,86563,38,58051
ZCTA5 58052,81500,81500,-666666666,103125,78750,75833,38,58052
ZCTA5 58053,50000,50000,71667,68571,63269,28750,38,58053
ZCTA5 58054,64708,64708,75685,82879,70625,36895,38,58054
ZCTA5 58056,59375,59375,-666666666,-666666666,71000,58333,38,58056
ZCTA5 58057,68750,68750,-666666666,-666666666,66250,109167,38,58057
ZCTA5 58058,59167,59167,-666666666,56875,67500,-666666666,38,58058
ZCTA5 58059,91250,91250,-666666666,96923,82679,99375,38,58059
ZCTA5 58060,62500,62500,43333,82734,73594,42279,38,58060
ZCTA5 58061,70859,70859,53750,63750,82188,43438,38,58061
ZCTA5 58062,71042,71042,-666666666,64792,131250,65000,38,58062
ZCTA5 58063,71625,71625,-666666666,70125,51563,101161,38,58063
ZCTA5 58064,74643,74643,63750,76875,103333,42500,38,58064
ZCTA5 58065,43571,43571,-666666666,-666666666,-666666666,36875,38,58065
ZCTA5 58067,71875,71875,-666666666,71875,63750,68750,38,58067
ZCTA5 58068,57750,57750,-666666666,31938,66406,-666666666,38,58068
ZCTA5 58069,62708,62708,-666666666,-666666666,60833,-666666666,38,58069
ZCTA5 58071,78333,78333,-666666666,63750,96250,63125,38,58071
ZCTA5 58072,50927,50927,21901,76412,66346,32543,38,58072
ZCTA5 58075,51151,51151,16813,49902,78656,39981,38,58075
ZCTA5 58076,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,38,58076
ZCTA5 58077,84583,84583,-666666666,93750,91875,26667,38,58077
ZCTA5 58078,85588,85588,40557,91131,103345,49236,38,58078
ZCTA5 58079,108795,108795,-666666666,121250,109844,58750,38,58079
ZCTA5 58081,74464,74464,37250,98438,91250,34583,38,58081
ZCTA5 58102,47927,47927,23475,52595,63571,49297,38,58102
ZCTA5 58103,46866,46866,28360,50772,56641,41354,38,58103
ZCTA5 58104,77278,77278,53276,86063,94195,51907,38,58104
ZCTA5 58105,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,38,58105
ZCTA5 58201,56927,56927,26327,65571,88008,38342,38,58201
ZCTA5 58202,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,38,58202
ZCTA5 58203,41654,41654,19663,41542,60644,45833,38,58203
ZCTA5 58204,60143,60143,43750,66146,89583,-666666666,38,58204
ZCTA5 58205,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,38,58205
ZCTA5 58210,50833,50833,-666666666,62500,98125,26250,38,58210
ZCTA5 58212,55313,55313,-666666666,75865,57500,40250,38,58212
ZCTA5 58214,66750,66750,-666666666,-666666666,-666666666,60750,38,58214
ZCTA5 58216,-666666666,-666666666,-666666666,46250,114063,-666666666,38,58216
ZCTA5 58218,90260,90260,-666666666,66806,94583,60250,38,58218
ZCTA5 58219,31563,31563,-666666666,-666666666,-666666666,-666666666,38,58219
ZCTA5 58220,62813,62813,56705,81111,64531,36667,38,58220
ZCTA5 58222,46250,46250,-666666666,70417,53750,40000,38,58222
ZCTA5 58223,-666666666,-666666666,-666666666,-666666666,92273,-666666666,38,58223
