cbsa_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,cbsa_code
"Gulfport-Biloxi, MS Metro Area",49068,49068,34125,49714,57003,41479,25060
"Guymon, OK Micro Area",52282,52282,19784,56743,59571,36833,25100
"Hagerstown-Martinsburg, MD-WV Metro Area",61138,61138,41625,68160,70298,44008,25180
"Hailey, ID Micro Area",54987,54987,75855,58264,61397,49821,25200
"Hammond, LA Metro Area",47832,47832,23896,54666,55827,34852,25220
"Hanford-Corcoran, CA Metro Area",57848,57848,39962,57845,67605,47618,25260
"Hannibal, MO Micro Area",50960,50960,33494,59014,60625,38606,25300
"Harrisburg-Carlisle, PA Metro Area",64916,64916,32581,72466,78672,47270,25420
"Harrison, AR Micro Area",44562,44562,42912,47352,51222,34398,25460
"Harrisonburg, VA Metro Area",56500,56500,22208,62877,66146,45312,25500
"Hartford-East Hartford-Middletown, CT Metro Area",77769,77769,38462,83599,96628,53080,25540
"Hastings, NE Micro Area",53023,53023,33047,60109,64540,37167,25580
"Hattiesburg, MS Metro Area",46800,46800,24835,50545,52254,39116,25620
"Hays, KS Micro Area",52883,52883,26667,64167,73177,35846,25700
"Heber, UT Micro Area",94989,94989,52183,96579,110719,71717,25720
"Helena, MT Micro Area",66419,66419,31019,71119,79610,50117,25740
"Helena-West Helena, AR Micro Area",29320,29320,9457,32813,31503,30288,25760
"Henderson, NC Micro Area",40529,40529,-666666666,35732,44575,38211,25780
"Hereford, TX Micro Area",49701,49701,32500,52600,72944,28201,25820
"Hermiston-Pendleton, OR Micro Area",54645,54645,34755,54430,68466,42586,25840
"Hickory-Lenoir-Morganton, NC Metro Area",48114,48114,29462,52787,57101,36835,25860
"Hillsdale, MI Micro Area",49622,49622,29750,54617,56680,39129,25880
"Hilo, HI Micro Area",62409,62409,35259,69474,70607,50816,25900
"Hilton Head Island-Bluffton, SC Metro Area",64959,64959,41345,58484,73458,67380,25940
"Hinesville, GA Metro Area",50160,50160,34355,51290,56716,46947,25980
"Hobbs, NM Micro Area",60546,60546,51770,70092,67684,34643,26020
"Holland, MI Micro Area",62965,62965,45156,70078,73360,44310,26090
"Homosassa Springs, FL Metro Area",44237,44237,19491,47475,49287,41315,26140
"Hood River, OR Micro Area",65679,65679,29537,76202,72326,48938,26220
"Hope, AR Micro Area",41125,41125,36977,40352,49255,34606,26260
"Hot Springs, AR Metro Area",44777,44777,31262,45325,52335,42236,26300
"Houghton, MI Micro Area",44198,44198,17184,55435,58605,38370,26340
"Houma-Thibodaux, LA Metro Area",51837,51837,30490,68434,57226,32941,26380
"Houston-The Woodlands-Sugar Land, TX Metro Area",67516,67516,35058,69358,80702,50089,26420
"Hudson, NY Micro Area",66787,66787,37614,66762,81079,55049,26460
"Huntingdon, PA Micro Area",51678,51678,33264,60802,66870,36163,26500
"Huntington, IN Micro Area",53632,53632,26250,63158,61750,37633,26540
"Huntington-Ashland, WV-KY-OH Metro Area",45441,45441,25980,53531,52793,36144,26580
"Huntsville, AL Metro Area",64483,64483,24207,64377,83421,51140,26620
"Huntsville, TX Micro Area",43742,43742,10269,46646,70098,44923,26660
"Huron, SD Micro Area",51662,51662,29560,59800,60976,37158,26700
"Hutchinson, KS Micro Area",49936,49936,30833,54707,59299,39506,26740
"Hutchinson, MN Micro Area",62121,62121,32283,74060,74338,46867,26780
"Idaho Falls, ID Metro Area",61007,61007,34530,63512,75779,46883,26820
"Indiana, PA Micro Area",49320,49320,20103,60461,64130,38833,26860
